timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
148709420,0.0,0.0,0.0
148910146,0.0,0.0,0.0
149114539,0.0,0.0,0.0
149315480,0.0,0.0,0.0
149520602,0.0,0.0,0.0
149721055,0.0,0.0,0.0
149921905,0.0,0.0,0.0
150126639,0.0,0.0,0.0
150327558,0.0,0.0,0.0
150527525,0.0,0.0,0.0
150731749,0.0,0.0,0.0
150932465,0.0,0.0,0.0
151137748,0.0,0.0,0.0
151602886,0.0,0.0,0.0
151806772,0.0,0.0,0.0
152007579,0.0,0.0,0.0
152212501,0.0,0.0,0.0
152412958,0.0,0.0,0.0
152618337,0.0,0.0,0.0
152821770,0.0,0.0,0.0
153023215,0.0,0.0,0.0
153227573,0.0,0.0,0.0
153428299,0.0,0.0,0.0
153632750,0.0,0.0,0.0
153833367,0.0,0.0,0.0
154034121,0.0,0.0,0.0
154238550,0.0,0.0,0.0
154439631,0.0,0.0,0.0
154643668,0.0,0.0,0.0
154848507,0.0,0.0,0.0
155049185,0.0,0.0,0.0
155253755,0.0,0.0,0.0
155453775,0.0,0.0,0.0
155654768,0.0,0.0,0.0
155859758,0.0,0.0,0.0
156060402,0.0,0.0,0.0
156260147,0.0,0.0,0.0
156465433,0.0,0.0,0.0
156666144,0.0,0.0,0.0
156870760,0.0,0.0,0.0
157072275,0.0,0.0,0.0
157275348,0.0,0.0,0.0
157480611,0.0,0.0,0.0
157681203,0.0,0.0,0.0
157885987,0.0,0.0,0.0
158086892,0.0,0.0,0.0
158290633,0.0,0.0,0.0
158491377,0.0,0.0,0.0
158692410,0.0,0.0,0.0
159101203,0.0,0.0,0.0
159302305,0.0,0.0,0.0
159506930,0.0,0.0,0.0
159707371,0.0,0.0,0.0
159911547,0.0,0.0,0.0
160112379,0.0,0.0,0.0
160313151,0.0,0.0,0.0
160518723,0.0,0.0,0.0
160719533,0.0,0.0,0.0
160922457,0.0,0.0,0.0
161123679,0.0,0.0,0.0
161324133,0.0,0.0,0.0
161529567,0.0,0.0,0.0
161729593,0.0,0.0,0.0
161929847,0.0,0.0,0.0
162134811,0.0,0.0,0.0
162335928,0.0,0.0,0.0
162539699,0.0,0.0,0.0
162744604,0.0,0.0,0.0
162945155,0.0,0.0,0.0
163150088,0.0,0.0,0.0
163350115,0.0,0.0,0.0
163550843,0.0,0.0,0.0
163752178,0.0,0.0,0.0
163952517,0.0,0.0,0.0
164153081,0.0,0.0,0.0
164357285,0.0,0.0,0.0
164557766,0.0,0.0,0.0
164762729,0.0,0.0,0.0
164963701,0.0,0.0,0.0
165163778,0.0,0.0,0.0
165368510,0.0,0.0,0.0
165569300,0.0,0.0,0.0
165770119,0.0,0.0,0.0
165975149,0.0,0.0,0.0
166175539,0.0,0.0,0.0
166375686,0.0,0.0,0.0
166576787,0.0,0.0,0.0
166777140,0.0,0.0,0.0
166978070,0.0,0.0,0.0
167178915,0.0,0.0,0.0
167378756,0.0,0.0,0.0
167582894,0.0,0.0,0.0
167787683,0.0,0.0,0.0
167988463,0.0,0.0,0.0
