timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
375871184,inf,1,0,0,0
376882184,inf,1,0,0,0
377886709,inf,1,0,0,0
378894196,inf,1,0,0,0
379895561,inf,1,0,0,0
380165186,inf,0,0,0,0
381167182,inf,0,0,0,0
382177182,inf,0,0,0,0
383179158,inf,0,0,0,0
384198184,inf,0,0,0,0
385212193,inf,0,0,0,0
386227195,inf,0,0,0,0
387245196,inf,0,0,0,0
388257416,inf,0,0,0,0
389267826,inf,0,0,0,0
390278619,inf,0,0,0,0
391287162,inf,0,0,0,0
392290751,inf,0,0,0,0
393301027,inf,0,0,0,0
394312359,inf,0,0,0,0
395322281,inf,0,0,0,0
396329205,inf,0,0,0,0
397343854,inf,0,0,0,0
398359195,inf,0,0,0,0
399363197,inf,0,0,0,0
400370718,inf,0,0,0,0
401387435,inf,0,0,0,0
402390869,inf,0,0,0,0
403399182,inf,0,0,0,0
404185823,inf,0,0,1,0
404475186,inf,0,0,0,1
404802162,inf,1,0,0,0
405811987,inf,1,0,0,0
406821210,inf,1,0,0,0
407833184,inf,1,0,0,0
408849526,inf,1,0,0,0
409866176,inf,1,0,0,0
410871185,inf,1,0,0,0
411881169,inf,1,0,0,0
412887339,inf,1,0,0,0
413889442,inf,1,0,0,0
414908215,inf,1,0,0,0
415929999,inf,1,0,0,0
416937179,inf,1,0,0,0
417957178,inf,1,0,0,0
418973242,inf,1,0,0,0
419982175,inf,1,0,0,0
420986681,inf,1,0,0,0
421997191,inf,1,0,0,0
423002803,inf,1,0,0,0
424009382,inf,1,0,0,0
425024202,inf,1,0,0,0
426033813,inf,1,0,0,0
427039205,inf,1,0,0,0
428056194,inf,1,0,0,0
429060999,inf,1,0,0,0
430068981,inf,1,0,0,0
431074210,inf,1,0,0,0
432081164,inf,1,0,0,0
433083184,inf,1,0,0,0
434089452,inf,1,0,0,0
435093182,inf,1,0,0,0
436102607,inf,1,0,0,0
436868853,inf,0,0,0,0
437870797,inf,0,0,0,0
438889989,inf,0,0,0,0
439904548,inf,0,0,0,0
440910609,inf,0,0,0,0
441917604,inf,0,0,0,0
442924227,inf,0,0,0,0
443937045,inf,0,0,0,0
444949192,inf,0,0,0,0
445959534,inf,0,0,0,0
446971003,inf,0,0,0,0
447975608,inf,0,0,0,0
448977450,inf,0,0,0,0
449978206,inf,0,0,0,0
450990815,inf,0,0,0,0
451996345,inf,0,0,0,0
453010668,inf,0,0,0,0
454021230,inf,0,0,0,0
455038184,inf,0,0,0,0
456048234,inf,0,0,0,0
457065782,inf,0,0,0,0
458074181,inf,0,0,0,0
458486193,inf,0,0,1,0
458773374,inf,0,0,0,1
459102281,inf,1,0,0,0
460115179,inf,1,0,0,0
461127399,inf,1,0,0,0
462129475,inf,1,0,0,0
463132238,inf,1,0,0,0
464140187,inf,1,0,0,0
