timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
160353381,10.790399,10.622288,0.0,0.0,0.0,0.0,0.53469735,1.108225,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
160858827,10.912669,10.627294,0.0,0.0,0.0,0.0,0.5391157,1.1070873,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
161351603,10.163761,10.610466,0.0,0.0,0.0,0.0,0.5355056,1.1080166,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
161857218,10.866818,10.61327,0.0,0.0,0.0,0.0,0.5372208,1.1075749,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
162362005,10.927954,10.614172,0.0,0.0,0.0,0.0,0.5390585,1.1071019,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
162854836,10.744547,10.621096,0.0,0.0,0.0,0.0,0.5428732,1.1061215,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
163359598,10.851534,10.6212845,0.0,0.0,0.0,0.0,0.54410726,1.1058047,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
163864627,10.102626,10.620406,0.0,0.0,0.0,0.0,0.5440205,1.1058271,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
164357390,10.576425,10.606787,0.0,0.0,0.0,0.0,0.5386656,1.1072031,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
164862020,10.683412,10.590713,0.0,0.0,0.0,0.0,0.5333651,1.1085685,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
165368416,10.087341,10.587672,0.0,0.0,0.0,0.0,0.53140527,1.1090742,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
165861221,10.775115,10.579972,0.0,0.0,0.0,0.0,0.5280245,1.1099477,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
166366411,10.882102,10.597173,0.0,0.0,0.0,0.0,0.53345376,1.1085457,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
166872446,10.270748,10.608593,0.0,0.0,0.0,0.0,0.53512317,1.1081152,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
167365365,10.897386,10.6258545,0.0,0.0,0.0,0.0,0.54030544,1.1067812,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
167870023,10.958521,10.623786,0.0,0.0,0.0,0.0,0.5351375,1.1081115,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
