timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
224909621,0.04222409,-0.050772514,-1.1171042,0.0,0.8478452,0.00444718,-0.032705106,-0.52921563,0.0,0.0,-0.3907017,1,0,0,0,0,0
225009631,0.050956067,-0.047793046,-1.1171042,0.0,0.8478286,0.008938603,-0.033753302,-0.52911943,0.0,0.0,-0.38502893,1,0,0,0,0,0
225109729,0.049791362,-0.05893302,-1.1171042,0.0,0.8477812,0.0054918337,-0.03816353,-0.5289427,0.0,0.0,-0.3811373,1,0,0,0,0,0
225209751,0.062184915,-0.04913216,-1.1171042,0.0,0.8477624,0.013343517,-0.037290543,-0.5288954,0.0,0.0,-0.38126603,1,0,0,0,0,0
225309814,0.05942932,-0.05062867,-1.1171042,0.0,0.84777594,0.011778743,-0.037195567,-0.5289175,0.0,0.0,-0.38482848,1,0,0,0,0,0
225409859,0.06480461,-0.047215603,-1.1171042,0.0,0.8477473,0.014962013,-0.0371717,-0.5288846,0.0,0.0,-0.38964778,1,0,0,0,0,0
225509862,0.0635382,-0.042109314,-1.1171042,0.0,0.847762,0.015778791,-0.03467427,-0.529007,0.0,0.0,-0.3933001,1,0,0,0,0,0
225609901,0.06426988,-0.043026436,-1.1171042,0.0,0.8477557,0.015845826,-0.03525621,-0.5289766,0.0,0.0,-0.39343694,1,0,0,0,0,0
225729988,0.059535153,-0.040867176,-1.1171042,0.0,0.847793,0.014411189,-0.033089243,-0.52909786,0.0,0.0,-0.4021377,1,0,0,0,0,0
225830027,0.0559517,-0.031892817,-1.1171042,0.0,0.8478201,0.0152707845,-0.028339291,-0.52930593,0.0,0.0,-0.4040592,1,0,0,0,0,0
225930017,0.051527712,-0.02679024,-1.1171042,0.0,0.8478487,0.014747681,-0.025006318,-0.5294429,0.0,0.0,-0.39904,1,0,0,0,0,0
226030117,0.05494454,-0.03743547,-1.1171042,0.0,0.8478273,0.013374809,-0.030420952,-0.5292301,0.0,0.0,-0.38976792,1,0,0,0,0,0
226130355,0.052589413,-0.029824903,-1.1171042,0.0,0.8478437,0.014393514,-0.026573224,-0.5293843,0.0,0.0,-0.37920514,1,0,0,0,0,0
