timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
100781047,-0.24065591,-0.14320545,0.37994146
100804206,-0.24364242,-0.14320545,0.3767855
100827151,-0.24662891,-0.14613548,0.37362954
100851092,-0.24065591,-0.14613548,0.37362954
100872316,-0.24065591,-0.14320545,0.3704736
100895092,-0.24065591,-0.14320545,0.36731768
100916148,-0.24065591,-0.14613548,0.37362954
100936240,-0.24065591,-0.14613548,0.3767855
100958957,-0.24065591,-0.14613548,0.37362954
100981109,-0.23766942,-0.14613548,0.37362954
101004030,-0.23766942,-0.14613548,0.37362954
101027117,-0.23766942,-0.14613548,0.3704736
101049091,-0.23766942,-0.14613548,0.3704736
101069325,-0.24065591,-0.14613548,0.3767855
101091959,-0.23766942,-0.14613548,0.37994146
101114775,-0.23766942,-0.14906551,0.3767855
101137600,-0.23468292,-0.14906551,0.37362954
101160346,-0.23468292,-0.15199554,0.3704736
101182117,-0.23468292,-0.14906551,0.37994146
101205047,-0.23766942,-0.14906551,0.37994146
101228366,-0.23468292,-0.14906551,0.36731768
101251046,-0.23169643,-0.14906551,0.37994146
101272356,-0.23468292,-0.14906551,0.37994146
101295046,-0.23468292,-0.14906551,0.37994146
101317320,-0.23468292,-0.14906551,0.3704736
101341333,-0.23468292,-0.14906551,0.3767855
101365001,-0.23468292,-0.14906551,0.3767855
101388373,-0.23766942,-0.15199554,0.37994146
101412352,-0.23766942,-0.14906551,0.3767855
101434118,-0.23468292,-0.14906551,0.37362954
101455093,-0.23468292,-0.14906551,0.37362954
101477559,-0.23468292,-0.14906551,0.3704736
101500108,-0.23468292,-0.15199554,0.37362954
101523046,-0.23169643,-0.15199554,0.37994146
101544107,-0.23468292,-0.15199554,0.3830974
101566557,-0.23468292,-0.14906551,0.37362954
101589549,-0.23468292,-0.14906551,0.3767855
101611959,-0.23468292,-0.15199554,0.37994146
101634683,-0.23468292,-0.14906551,0.37362954
101657877,-0.23169643,-0.15199554,0.37994146
101679041,-0.23468292,-0.14906551,0.3830974
101702529,-0.23169643,-0.14906551,0.3767855
101726530,-0.23169643,-0.14613548,0.3767855
101750978,-0.23468292,-0.14906551,0.37362954
101774192,-0.23468292,-0.14906551,0.3767855
101797581,-0.23468292,-0.14906551,0.37994146
101821551,-0.23468292,-0.14613548,0.37994146
101845633,-0.23169643,-0.14906551,0.37994146
101867206,-0.23468292,-0.14906551,0.3767855
101889877,-0.23468292,-0.14613548,0.37994146
101911047,-0.22870992,-0.14613548,0.3830974
101933059,-0.23468292,-0.14613548,0.37994146
101956201,-0.23169643,-0.14906551,0.37994146
101978747,-0.23169643,-0.14906551,0.37994146
102001047,-0.23468292,-0.14613548,0.37362954
102024108,-0.23169643,-0.14613548,0.37994146
102046349,-0.22870992,-0.14613548,0.3767855
102068124,-0.22870992,-0.14906551,0.3830974
102090639,-0.23169643,-0.14613548,0.3830974
102113047,-0.23169643,-0.14613548,0.37994146
102135099,-0.22870992,-0.14613548,0.37994146
102157047,-0.23169643,-0.14906551,0.37362954
102180147,-0.22870992,-0.14613548,0.38625333
102202787,-0.22870992,-0.14613548,0.3767855
102225046,-0.22870992,-0.14613548,0.37994146
102248129,-0.23169643,-0.14613548,0.3767855
102270349,-0.22870992,-0.14613548,0.3830974
102293047,-0.22870992,-0.14906551,0.37994146
102316133,-0.22870992,-0.14613548,0.3767855
102338046,-0.22870992,-0.14906551,0.37994146
102360293,-0.22870992,-0.14906551,0.37994146
102384196,-0.22870992,-0.14613548,0.3830974
102407151,-0.22870992,-0.14613548,0.3830974
102432144,-0.22870992,-0.14613548,0.3767855
102453156,-0.22870992,-0.14906551,0.37362954
102476349,-0.22870992,-0.14906551,0.37994146
102498116,-0.22870992,-0.14906551,0.3830974
102520392,-0.22870992,-0.14906551,0.3830974
102544132,-0.22870992,-0.14906551,0.3767855
102568166,-0.22870992,-0.14613548,0.37994146
102591168,-0.23169643,-0.14613548,0.37994146
102612251,-0.22870992,-0.14613548,0.3830974
102635047,-0.22870992,-0.14320545,0.37362954
102657046,-0.23169643,-0.14613548,0.3767855
102678047,-0.23169643,-0.14613548,0.3830974
102700395,-0.23169643,-0.14613548,0.3830974
102722047,-0.23169643,-0.14320545,0.3767855
102744424,-0.23169643,-0.14613548,0.3830974
102765369,-0.23169643,-0.14320545,0.3830974
102788345,-0.23169643,-0.14320545,0.3767855
102810046,-0.23169643,-0.14320545,0.37994146
102832352,-0.23169643,-0.14320545,0.37994146
102856362,-0.22870992,-0.14320545,0.37362954
102880601,-0.23169643,-0.14320545,0.3767855
102904050,-0.23169643,-0.14613548,0.3767855
102925185,-0.23169643,-0.14320545,0.3830974
102948345,-0.23169643,-0.14320545,0.3830974
102971093,-0.23169643,-0.14320545,0.37994146
102992370,-0.23169643,-0.14320545,0.37362954
103014209,-0.23169643,-0.14320545,0.3767855
103036365,-0.23169643,-0.14320545,0.37994146
103059047,-0.23169643,-0.14320545,0.37362954
103081062,-0.23169643,-0.14320545,0.3767855
103104129,-0.23169643,-0.14320545,0.37994146
103127165,-0.23169643,-0.14320545,0.3767855
103150115,-0.22870992,-0.14320545,0.3830974
103171046,-0.23169643,-0.14613548,0.3830974
