timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
197805922,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
198806237,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
199812189,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200813138,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
201821215,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202826432,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
203835232,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
204836946,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
205838587,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
206842604,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
207852576,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
208852834,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
209862546,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
210865134,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211871182,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
212881244,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
213891172,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
214894662,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
215897391,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
216898741,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
217906192,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
218912434,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
219919180,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
220922209,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
221922733,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
222925794,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
223927218,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
224938194,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
225942361,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
226953139,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
227963434,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
228965189,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
