timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
108288848,-0.14700985,-0.07314457,0.075981736,-0.064144135,-0.052230835,-0.51877594,-0.00040361285,-0.008853895,0.0028494596,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26619032,0.2662808,0.57319206,1.1511451,1.1511942,4.056293,0.0025056317,0.0025080673,0.0025067688,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00086173863,0.017281605,0.06125242,0.0,0.0,0.0,0.0,0.0,0.0
108497660,-0.071394205,0.094255246,-0.07248449,-0.085487366,-0.056793213,-0.6642685,-0.0038748384,-0.009436744,0.0047730505,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26617226,0.26621726,0.5731687,1.1470004,1.1470495,4.0567303,0.00250559,0.0025080212,0.002506653,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00081794075,0.011679353,0.034494404,0.0,0.0,0.0,0.0,0.0,0.0
108697648,-0.16384578,0.23923424,0.032212198,-0.09635544,-0.044166565,-0.42515182,-0.0038966238,-0.010188918,0.0045803487,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26611948,0.2661564,0.57323235,1.1448417,1.1448948,4.056726,0.00250553,0.002507948,0.0025065471,0.09014178,0.0,0.0,0.0,0.0,0.0,0.0009262052,0.01620085,0.034122057,0.0,0.0,0.0,0.0,0.0,0.0
108898448,-0.10268438,-0.0039836,0.10147083,-0.095142365,-0.059474945,-0.9267502,0.00021800399,-0.0072035454,0.004554838,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26600522,0.26605684,0.57325405,1.1402147,1.140276,4.0565,0.0025054761,0.0025078685,0.0025064123,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00084982574,0.01000949,0.0217213,0.0,0.0,0.0,0.0,0.0,0.0
109106448,-0.20617735,0.04294083,0.18788594,-0.11097336,-0.061023712,-0.14762878,-0.0030368865,-0.0077071507,0.0063996017,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26595604,0.26603624,0.57322806,1.1380618,1.1381353,4.0564437,0.0025054207,0.0025077949,0.0025062826,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00083334476,0.010430964,0.020411838,0.0,0.0,0.0,0.0,0.0,0.0
109307248,-0.07108891,-0.042358562,0.24854183,-0.1253357,-0.07816315,-0.7993164,-0.00381729,-0.007692389,0.0048469305,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26594043,0.2660512,0.5732093,1.1339147,1.1340039,4.05645,0.002505371,0.002507732,0.002506178,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00071170286,0.008889062,0.02161659,0.0,0.0,0.0,0.0,0.0,0.0
109507248,0.012838602,-0.15748423,0.24174494,-0.123435974,-0.098846436,-0.44752502,-0.004516065,-0.0070988815,0.0073373914,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26590222,0.26604596,0.5731925,1.1317433,1.1318505,4.0563006,0.0025053085,0.0025076654,0.0025060817,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00069814763,0.011763309,0.03225395,0.0,0.0,0.0,0.0,0.0,0.0
109707248,0.001885891,-0.12172365,0.2708904,-0.12374878,-0.11065674,-0.7556267,0.0006670952,-0.0069794394,0.00024530292,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26580125,0.26597396,0.57317746,1.1275755,1.127703,4.056432,0.0025052533,0.0025076144,0.0025059928,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00073989097,0.011065492,0.029715171,0.0,0.0,0.0,0.0,0.0,0.0
109908047,0.15918231,-0.008321058,0.3010871,-0.113456726,-0.12423706,-0.08609581,-0.0027914047,-0.0040358044,0.0019336939,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26576275,0.2659711,0.5732004,1.1258187,1.1259719,4.0563054,0.0025052086,0.0025075555,0.0025058908,0.09014178,0.0,0.0,0.0,0.0,0.0,0.0007249578,0.015573049,0.04141185,0.0,0.0,0.0,0.0,0.0,0.0
110116048,0.0541842,-0.14388745,0.33108816,-0.12223816,-0.13760376,-0.121593475,-0.00047159195,-0.0045844484,0.010134697,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26571065,0.2659584,0.5731887,1.1215901,1.1217699,4.0564475,0.0025051702,0.0025075122,0.0025057916,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00071028824,0.020605434,0.05923503,0.0,0.0,0.0,0.0,0.0,0.0
