timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
194749785,194749648,-0.04993938,-0.047059707,0.019076718,0.3781548,0.0,0.0,0.0,1.0
194849794,194849660,-0.072873056,-0.027595747,0.015120931,0.3591016,0.0,0.0,0.0,1.0
194953784,194953648,-0.09064768,-0.07241276,0.026155723,0.3327522,0.0,0.0,0.0,1.0
195053786,195053648,-0.096309185,-0.07682442,0.033186153,0.3109169,0.0,0.0,0.0,1.0
195155387,195155248,-0.10897326,-0.047550377,0.034840133,0.29614365,0.0,0.0,0.0,1.0
195255384,195255248,-0.0912539,-0.06919472,0.023909006,0.2924131,0.0,0.0,0.0,1.0
195359398,195359257,-0.10366056,-0.078278236,0.05138231,0.297612,0.0,0.0,0.0,1.0
195459386,195459248,-0.10466269,-0.03294927,0.0583157,0.3032359,0.0,0.0,0.0,1.0
195560196,195560048,-0.08615332,-0.09668839,0.067102216,0.3153888,0.0,0.0,0.0,1.0
195664193,195664052,-0.0649845,-0.06691882,0.058857854,0.34046653,0.0,0.0,0.0,1.0
195764188,195764048,-0.04046004,-0.083510086,0.044705488,0.3494623,0.0,0.0,0.0,1.0
195868199,195868048,-0.02382769,-0.057366397,0.038092397,0.36700818,0.0,0.0,0.0,1.0
195969027,195968880,-0.07126227,-0.031341717,0.015170893,0.37604412,0.0,0.0,0.0,1.0
196068988,196068848,-0.07324168,-0.0111793205,0.017766122,0.3814695,0.0,0.0,0.0,1.0
196168987,196168848,-0.06286111,-0.03182247,0.0061242804,0.38151753,0.0,0.0,0.0,1.0
196272998,196272861,-0.07909051,-0.026326336,0.0026055183,0.3829853,0.0,0.0,0.0,1.0
196374614,196374473,-0.05432643,-0.03134304,0.0023653898,0.37915984,0.0,0.0,0.0,1.0
196474600,196474463,-0.059598368,-0.037344072,-0.005535435,0.3697011,0.0,0.0,0.0,1.0
196578587,196578448,-0.06288679,0.009822106,-0.0014997981,0.369678,0.0,0.0,0.0,1.0
196679386,196679248,-0.05668389,-0.01092382,-0.011309095,0.37239596,0.0,0.0,0.0,1.0
196779387,196779248,-0.07165055,-0.00031040143,-0.018235061,0.37560764,0.0,0.0,0.0,1.0
196879396,196879266,-0.064352304,-0.006126874,-0.017545322,0.37855655,0.0,0.0,0.0,1.0
196983395,196983255,-0.059075966,-0.035326783,-0.029465884,0.38689935,0.0,0.0,0.0,1.0
197083385,197083248,-0.060210276,-0.016949128,-0.025539955,0.39707863,0.0,0.0,0.0,1.0
197184198,197184049,-0.061966654,-0.046151143,-0.02781363,0.40679112,0.0,0.0,0.0,1.0
197288201,197288065,-0.052311685,-0.039187074,-0.02450807,0.41231313,0.0,0.0,0.0,1.0
197388180,197388048,-0.055065025,-0.04178372,-0.018660128,0.4187387,0.0,0.0,0.0,1.0
197492190,197492049,-0.06620121,-0.032714978,-0.018804204,0.4245535,0.0,0.0,0.0,1.0
197596994,197596848,-0.05452778,-0.043086153,-0.01644634,0.42581797,0.0,0.0,0.0,1.0
197696988,197696847,-0.071515426,-0.024263468,-0.024150874,0.43272582,0.0,0.0,0.0,1.0
197796985,197796848,-0.0380809,-0.056975253,-0.020785788,0.4303185,0.0,0.0,0.0,1.0
197900984,197900848,-0.048369687,-0.013707379,-0.013844655,0.4340395,0.0,0.0,0.0,1.0
