timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
60886448,17875248,32.387344299999995,-117.0765293,0.80006796,0.47338572,-1.2053425,-0.00095559197,0.00016487676,0.0,-0.057817034,0.032213215,-0.84066623,-0.8860513,-0.0082502235,-0.006005967,0.011175698,-3.3003516,-1.5578603,1.3082714,-1.1589317,15.565142,0.856722,0.84066623,0.36290875,0.2343259,0.16906558,0.100284554,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60990448,17875248,32.387344299999995,-117.0765293,0.7917631,0.48172396,-1.3166686,-0.00095559197,0.00016487676,0.0,-0.07076119,0.033975355,-0.8393413,-0.90301543,-0.0082502235,-0.006005967,0.011175698,0.6736552,1.5509127,-1.5634308,-1.161936,15.565142,0.9680481,0.8393413,0.3514174,0.23464982,0.16432644,0.10011142,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61088047,17875248,32.387344299999995,-117.0765293,0.7831189,0.48822358,-1.4213699,-0.00095559197,0.00016487676,0.0,-0.077165715,0.03841967,-0.81659853,-0.89603454,-0.0082502235,-0.006005967,0.011175698,0.35382095,0.93467677,1.4525725,-1.1631458,15.565142,1.0727494,0.81659853,0.36317772,0.23555617,0.1686165,0.10064561,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61192049,17875248,32.387344299999995,-117.0765293,0.77186114,0.49426618,-1.5300281,-0.00095559197,0.00016487676,0.0,-0.0818818,0.035400677,-0.79715514,-0.8913466,-0.0082502235,-0.006005967,0.011175698,-0.8394158,-0.9036075,-0.35034508,-1.1645827,15.565142,1.1814076,0.79715514,0.3518244,0.23417558,0.16406968,0.100050956,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61296047,17875248,32.387344299999995,-117.0765293,0.7600813,0.49948007,-1.6350743,-0.00095559197,0.00016487676,0.0,-0.087466694,0.029215092,-0.792223,-0.89702654,-0.0082502235,-0.006005967,0.011175698,-0.30011785,-2.3707957,0.51638436,-1.1654947,15.565142,1.2864537,0.792223,0.36477903,0.23417483,0.16867425,0.10038137,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61392848,17875248,32.387344299999995,-117.0765293,0.74807996,0.50277656,-1.7258626,-0.00095559197,0.00016487676,0.0,-0.08093731,0.03555307,-0.7751551,-0.88309157,-0.0082502235,-0.006005967,0.011175698,-0.28056127,1.4668739,0.31863332,-1.1629312,15.565142,1.3772421,0.7751551,0.35232386,0.23385014,0.16361603,0.10004173,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61496849,17875248,32.387344299999995,-117.0765293,0.73567456,0.506052,-1.8173748,-0.00095559197,0.00016487676,0.0,-0.07166854,0.029138759,-0.76523376,-0.87110615,-0.0082502235,-0.006005967,0.011175698,0.78568256,-1.2925056,0.6405522,-1.1583499,15.565142,1.4687543,0.76523376,0.36507428,0.23537137,0.16828701,0.100780845,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61600848,17875248,32.387344299999995,-117.0765293,0.7252817,0.5089972,-1.9027351,-0.00095559197,0.00016487676,0.0,-0.06352252,0.034386784,-0.7583582,-0.8574701,-0.0082502235,-0.006005967,0.011175698,-2.7826874,-2.2025208,-0.9851466,-1.1499519,15.565142,1.5541146,0.7583582,0.35362494,0.23411663,0.16375199,0.10024857,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61696848,17875248,32.387344299999995,-117.0765293,0.7178034,0.51263475,-1.9804132,-0.00095559197,0.00016487676,0.0,-0.044746596,0.048218187,-0.7558044,-0.84896684,-0.0082502235,-0.006005967,0.011175698,0.39038756,-0.63664216,3.4437337,-1.1416891,15.565142,1.6317927,0.7558044,0.36540726,0.23502122,0.16802748,0.10080144,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
61800848,17875248,32.387344299999995,-117.0765293,0.7104027,0.51967216,-2.070272,-0.00095559197,0.00016487676,0.0,-0.028323397,0.056505,-0.8032968,-0.8941892,-0.0082502235,-0.006005967,0.011175698,-0.758164,-0.8150515,-1.6316158,-1.1306828,15.565142,1.7216514,0.8032968,0.3539129,0.23371646,0.16347818,0.10025281,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
