timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
216302328,216302328,8,39,0,0,27004,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
216498334,216498334,8,39,0,0,27001,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
216714318,216714318,8,39,0,0,27002,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
216907135,216907135,8,39,0,0,27002,1489,1497,1416,1511,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
217107121,217107121,8,39,0,0,27002,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
217304729,217304729,8,39,0,0,26999,1488,1498,1415,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
217525754,217525754,8,39,0,0,27008,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
217705751,217705751,8,39,0,0,27003,1488,1498,1415,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
217917536,217917536,8,39,0,0,27003,1489,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
218134333,218134333,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
218334318,218334318,8,39,0,0,27004,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
218527134,218527134,8,39,0,0,27003,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
218731117,218731117,8,39,0,0,27004,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
218924738,218924738,8,39,0,0,27006,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
219145769,219145769,8,39,0,0,27004,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
219345536,219345536,8,39,0,0,27006,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
219545522,219545522,8,39,0,0,27001,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
219738339,219738339,8,39,0,0,27004,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
219938553,219938553,8,39,0,0,27004,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
