timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
73448208,nan,nan,nan,nan,-0.8129122,5.953192,-7.946934,-1.9858118,-5.60328,-4.00378,-0.0006798059,-20.0,0.0,0.0,nan,nan,nan
73668583,nan,nan,nan,-1.1157745,0.0,4.8067236,-8.829268,-1.6770173,-4.0023007,-4.00378,2.7945402,20.0,0.0,0.0,nan,nan,nan
73868329,nan,nan,nan,-1.1157745,-0.0,4.1394224,-9.298052,-1.1188161,-2.0008607,-0.40881997,2.7945402,20.0,20.0,0.0,nan,nan,nan
74069337,nan,nan,nan,-1.1157745,0.0,4.1411386,-9.146749,-0.55728114,2.0179393,1.19058,2.7945402,20.0,0.0,0.0,nan,nan,nan
74269238,nan,nan,nan,-1.1157745,-0.0,4.439462,-8.921629,-0.06377805,-0.01622092,-0.025600068,1.1781801,-20.0,-20.0,-20.0,nan,nan,nan
74468537,nan,nan,-21.250153,-1.1157745,-0.0,4.3874345,-8.983566,-0.0062481645,0.40007907,0.39051995,-1.755884e-08,20.0,0.0,0.0,nan,nan,nan
74668593,nan,nan,-21.25141,-1.1157745,0.0,4.3914375,-8.979659,-0.006248169,-1.5853544e-08,5.1524047e-09,-1.755884e-08,0.0,0.0,0.0,nan,nan,nan
74868624,nan,nan,-21.252665,nan,-0.09598676,4.39544,-8.979659,-0.006248174,0.40013996,5.1524047e-09,-1.755884e-08,20.0,0.0,0.0,nan,nan,nan
75068760,nan,nan,-21.25392,nan,-0.35710546,4.3072534,-9.003828,-0.0062481784,-2.00124,-0.80204,-1.755884e-08,-20.0,0.0,0.0,nan,nan,nan
75288939,nan,nan,-21.255299,-1.17055,-0.0,3.8747852,-9.212376,-0.0062481835,-1.2008598,-0.8011599,-1.755884e-08,0.0,20.0,0.0,nan,nan,nan
75489004,nan,nan,-21.256556,-1.17055,-0.0,3.9187267,-9.204576,-0.006248188,-0.0008197054,-0.00091990083,-1.755884e-08,-20.0,-20.0,0.0,nan,nan,nan
75690152,nan,nan,-21.257818,-1.17055,0.0,3.9185615,-9.204759,-0.006248193,-0.0008197054,-0.00091990083,-1.755884e-08,0.0,0.0,0.0,nan,nan,nan
