timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
271848174,1532984896183519,-1532984624359635,-1532984624340253,48566
271952288,1532984896287219,-1532984624358764,-1532984624340253,47658
272056517,1532984896390935,-1532984624362186,-1532984624340253,55530
272148236,1532984896485996,-1532984624361531,-1532984624340253,47526
272208194,1532984896544309,-1532984624340006,-1532984624340233,7716
272306364,1532984896641415,-1532984624338284,-1532984624340140,6414
272414309,1532984896743799,-1532984624335620,-1532984624340140,12252
272548960,1532984896886079,-1532984624360849,-1532984624340140,47446
272651346,1532984896984641,-1532984624357813,-1532984624340140,49029
272745908,1532984897083756,-1532984624359484,-1532984624340140,43267
272849285,1532984897183986,-1532984624357748,-1532984624340140,46086
272950718,1532984897288102,-1532984624359152,-1532984624340140,42871
273052338,1532984897386725,-1532984624358981,-1532984624340140,49172
273146756,1532984897484894,-1532984624359354,-1532984624340140,42425
273254893,1532984897590613,-1532984624359333,-1532984624340140,47221
273351096,1532984897684575,-1532984624357185,-1532984624340140,47407
273455520,1532984897790054,-1532984624357833,-1532984624340140,46591
273551637,1532984897884253,-1532984624357240,-1532984624340140,44884
273652339,1532984897990160,-1532984624361511,-1532984624340140,47367
273748285,1532984898086536,-1532984624359373,-1532984624340140,42237
273848412,1532984898184359,-1532984624355894,-1532984624340140,39888
273950284,1532984898284983,-1532984624356503,-1532984624340140,43601
274049585,1532984898386402,-1532984624358708,-1532984624340140,43777
274153753,1532984898484924,-1532984624355351,-1532984624340140,47426
274249453,1532984898586827,-1532984624358504,-1532984624340140,42255
274353592,1532984898691014,-1532984624358808,-1532984624340140,42767
274453802,1532984898790875,-1532984624358473,-1532984624340140,42793
274552292,1532984898886754,-1532984624354937,-1532984624340140,40942
274656333,1532984898989604,-1532984624354046,-1532984624340140,41544
274752692,1532984899087274,-1532984624355288,-1532984624340140,40645
274855450,1532984899190912,-1532984624355049,-1532984624340140,39161
274949406,1532984899287580,-1532984624354541,-1532984624340140,32727
275051110,1532984899388655,-1532984624354800,-1532984624340140,34503
275149423,1532984899487215,-1532984624351901,-1532984624340140,28212
275248574,1532984899585933,-1532984624352932,-1532984624340140,31138
275352214,1532984899685959,-1532984624351683,-1532984624340140,35160
275447941,1532984899785798,-1532984624353305,-1532984624340140,30890
275553332,1532984899886343,-1532984624350965,-1532984624340140,35902
275649570,1532984899986026,-1532984624352701,-1532984624340140,32477
275750280,1532984900084689,-1532984624350253,-1532984624340140,31683
275849179,1532984900186780,-1532984624353137,-1532984624340140,31066
275950227,1532984900285912,-1532984624349640,-1532984624340140,27349
276055368,1532984900389441,-1532984624352542,-1532984624340140,36922
276155943,1532984900491759,-1532984624353531,-1532984624340140,35425
276247198,1532984900585651,-1532984624352116,-1532984624340140,27321
276354783,1532984900688725,-1532984624351487,-1532984624340140,35085
276455118,1532984900791541,-1532984624353987,-1532984624340140,35123
276547877,1532984900885201,-1532984624353195,-1532984624340140,30674
