timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
1080156836,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0009246724,0.006304526,-0.9850979,0.0,0.0,0.0
1080257948,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0006808831,0.004507524,-0.98511404,0.0,0.0,0.0
1080357049,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0007756907,0.0049670674,-0.9851357,0.0,0.0,0.0
1080461297,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00065593555,0.004107871,-0.98515433,0.0,0.0,0.0
1080562025,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0012253558,0.0074500884,-0.9851814,0.0,0.0,0.0
1080662309,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0012853246,0.0076061497,-0.98520285,0.0,0.0,0.0
1080765946,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0017122333,0.009851515,-0.9852268,0.0,0.0,0.0
1080865835,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0015837039,0.00893526,-0.98524594,0.0,0.0,0.0
1080967420,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0020423026,0.011315339,-0.9852636,0.0,0.0,0.0
1081070724,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0022240004,0.012138315,-0.9852806,0.0,0.0,0.0
1081170736,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0024814485,0.013311106,-0.98529655,0.0,0.0,0.0
1081270708,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0026668643,0.014088408,-0.9853178,0.0,0.0,0.0
1081374759,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0029779838,0.015503096,-0.98533314,0.0,0.0,0.0
1081475591,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0028149153,0.014415748,-0.98536354,0.0,0.0,0.0
1081575534,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0029526083,0.01494036,-0.985386,0.0,0.0,0.0
1081679506,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0025506825,0.012747864,-0.9854109,0.0,0.0,0.0
1081779634,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0031375815,0.015510868,-0.9854303,0.0,0.0,0.0
1081879955,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0033256449,0.016333098,-0.9854466,0.0,0.0,0.0
1081984299,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.003584536,0.017333765,-0.98547405,0.0,0.0,0.0
1082084036,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0036520814,0.01757,-0.98549235,0.0,0.0,0.0
1082184534,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0036811456,0.017584708,-0.9855135,0.0,0.0,0.0
1082289014,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0044439244,0.021139344,-0.9855502,0.0,0.0,0.0
1082389184,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.005659313,0.027082678,-0.98557866,0.0,0.0,0.0
1082489503,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0074230107,0.03597933,-0.98561066,0.0,0.0,0.0
1082593339,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.009763257,0.047854375,-0.9856475,0.0,0.0,0.0
1082693243,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.011856795,0.059035465,-0.9856785,0.0,0.0,0.0
1082793320,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.013182694,0.06700691,-0.9857071,0.0,0.0,0.0
1082898761,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.014715366,0.07621198,-0.98573095,0.0,0.0,0.0
1083002157,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.016306499,0.086231865,-0.9857556,0.0,0.0,0.0
1083101625,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.017337173,0.09320889,-0.9857915,0.0,0.0,0.0
1083206297,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.01786187,0.09793758,-0.98581314,0.0,0.0,0.0
1083310028,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.018385656,0.10265408,-0.9858468,0.0,0.0,0.0
1083410788,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.01836346,0.10507761,-0.9858632,0.0,0.0,0.0
1083510437,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.017512219,0.102037996,-0.9858956,0.0,0.0,0.0
1083614783,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.016564056,0.098765045,-0.98592013,0.0,0.0,0.0
