timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
341279162,341279162,0,0,0,0,0,0,0,0,0,0,0
342244228,342244228,0,0,0,0,0,0,0,0,0,0,0
343331496,343331496,0,0,0,0,0,0,0,0,0,0,0
344225528,344225528,0,0,0,0,0,0,0,0,0,0,0
345235595,345235595,0,0,0,0,0,0,0,0,0,0,0
346271149,346271149,0,0,0,0,0,0,0,0,0,0,0
347227683,347227683,0,0,0,0,0,0,0,0,0,0,0
349274141,349274141,0,0,0,0,0,0,0,0,0,0,0
350299344,350299344,0,0,0,0,0,0,0,0,0,0,0
353239129,353239129,0,0,0,0,0,0,0,0,0,0,0
354256006,354256006,0,0,0,0,0,0,0,0,0,0,0
355243164,355243164,0,0,0,0,0,0,0,0,0,0,0
356231217,356231217,0,0,0,0,0,0,0,0,0,0,0
357228179,357228179,0,0,0,0,0,0,0,0,0,0,0
358282423,358282423,0,0,0,0,0,0,0,0,0,0,0
359304986,359304986,0,0,0,0,0,0,0,0,0,0,0
360330293,360330293,0,0,0,0,0,0,0,0,0,0,0
361336547,361336547,0,0,0,0,0,0,0,0,0,0,0
362228174,362228174,0,0,0,0,0,0,0,0,0,0,0
363231192,363231192,0,0,0,0,0,0,0,0,0,0,0
364279960,364279960,0,0,0,0,0,0,0,0,0,0,0
365247127,365247127,0,0,0,0,0,0,0,0,0,0,0
366264252,366264252,0,0,0,0,0,0,0,0,0,0,0
367287822,367287822,0,0,0,0,0,0,0,0,0,0,0
368317251,368317251,0,0,0,0,0,0,0,0,0,0,0
369344022,369344022,0,0,0,0,0,0,0,0,0,0,0
370229269,370229269,0,0,0,0,0,0,0,0,0,0,0
371233182,371233182,0,0,0,0,0,0,0,0,0,0,0
372285569,372285569,0,0,0,0,0,0,0,0,0,0,0
373292187,373292187,0,0,0,0,0,0,0,0,0,0,0
374257981,374257981,0,0,0,0,0,0,0,0,0,0,0
375236042,375236042,0,0,0,0,0,0,0,0,0,0,0
376308156,376308156,0,0,0,0,0,0,0,0,0,0,0
377333202,377333202,0,0,0,0,0,0,0,0,0,0,0
378236193,378236193,0,0,0,0,0,0,0,0,0,0,0
379227156,379227156,0,0,0,0,0,0,0,0,0,0,0
380234182,380234182,0,0,0,0,0,0,0,0,0,0,0
381231141,381231141,0,0,0,0,0,0,0,0,0,0,0
382241085,382241085,0,0,0,0,0,0,0,0,0,0,0
383250572,383250572,0,0,0,0,0,0,0,0,0,0,0
384294170,384294170,0,0,0,0,0,0,0,0,0,0,0
385311676,385311676,0,0,0,0,0,0,0,0,0,0,0
386277484,386277484,0,0,0,0,0,0,0,0,0,0,0
387231797,387231797,0,0,0,0,0,0,0,0,0,0,0
388257593,388257593,0,0,0,0,0,0,0,0,0,0,0
389284210,389284210,0,0,0,0,0,0,0,0,0,0,0
390238912,390238912,0,0,0,0,0,0,0,0,0,0,0
391258202,391258202,0,0,0,0,0,0,0,0,0,0,0
392279003,392279003,0,0,0,0,0,0,0,0,0,0,0
393301140,393301140,0,0,0,0,0,0,0,0,0,0,0
394235293,394235293,0,0,0,0,0,0,0,0,0,0,0
395227155,395227155,0,0,0,0,0,0,0,0,0,0,0
396242291,396242291,0,0,0,0,0,0,0,0,0,0,0
397236178,397236178,0,0,0,0,0,0,0,0,0,0,0
398236379,398236379,0,0,0,0,0,0,0,0,0,0,0
399235874,399235874,0,0,0,0,0,0,0,0,0,0,0
400269480,400269480,0,0,0,0,0,0,0,0,0,0,0
401293379,401293379,0,0,0,0,0,0,0,0,0,0,0
402314634,402314634,0,0,0,0,0,0,0,0,0,0,0
403228178,403228178,0,0,0,0,0,0,0,0,0,0,0
404231656,404231656,0,0,0,0,0,0,0,0,0,0,0
405248617,405248617,0,0,0,0,0,0,0,0,0,0,0
407242039,407242039,0,0,0,0,0,0,0,0,0,0,0
408328488,408328488,0,0,0,0,0,0,0,0,0,0,0
409279237,409279237,0,0,0,0,0,0,0,0,0,0,0
410233609,410233609,0,0,0,0,0,0,0,0,0,0,0
