timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
328413307,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
329422346,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
330424352,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
331424366,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
332425435,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
333430708,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
334431220,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
335440528,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
336441483,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
337448322,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
338451542,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
339460684,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
340469223,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
341469895,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
342476376,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
343486607,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
344497886,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
345508692,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
346510552,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
347516270,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
348526276,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
349531182,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
350539364,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
351546374,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
352547500,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
353558745,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
354559225,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
355568252,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
356574172,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
357577182,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
358577847,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
359579469,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
359715226,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
360715429,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
361725519,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
