,Unnamed: 0,Unnamed: 0.1,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,heading,satellites_used,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time
86,86,86,206197972,1554223071200184,323876628,-1170764556,0.03,66,31,1.8690001,,17,0.5493306,0.79087377,10.812612,0.51167136,0,1212.0133,49.0,0.0,96.0,83.0,0.0,5.0,0.0,24.052177,101363.34,0.0,0.0,86
87,87,87,207194916,1554223072200184,323876425,-1170764545,0.03,72,36,2.6590002,,17,0.54821944,0.79087377,10.7236185,0.48787096,0,1226.0656,43.0,0.0,98.0,88.0,0.0,5.0,0.0,23.907354,101356.164,0.0,0.0,87
88,88,88,208187909,1554223073200184,323876197,-1170764559,0.03,76,31,2.035,,17,0.54641986,0.79087377,10.893701,0.5238188,0,1238.636,44.0,0.0,86.0,90.0,0.0,5.0,0.0,23.802483,101336.164,0.0,0.0,88
89,89,89,209000406,1554223074000184,323876086,-1170764578,0.03,76,31,1.2720001,,17,0.5518112,0.79087377,10.839865,0.51298696,0,1252.8239,46.0,0.0,97.0,89.0,0.0,5.0,0.0,23.722582,101308.664,0.0,0.0,89
90,90,90,210195884,1554223075200184,323875938,-1170764594,0.03,71,40,1.21,,17,0.5143012,0.79087377,10.927228999999999,0.53495866,0,1266.8646,46.0,0.0,93.0,88.0,0.0,5.0,0.0,23.637686,101290.29,0.0,0.0,90
91,91,91,211196909,1554223076200184,323875886,-1170764649,0.03,66,40,0.919,,17,0.51672435,0.79087377,10.957819,0.54215556,0,1281.0134,46.0,0.0,98.0,88.0,0.0,5.0,0.0,23.557782999999997,101273.58,0.0,0.0,91
92,92,92,212193934,1554223077200184,323875926,-1170764756,0.03,66,33,1.452,,17,0.5154371,0.79087377,10.956922,0.5416458000000001,0,1294.9944,70.0,0.0,100.0,88.0,0.0,5.0,0.0,23.505348,101259.22,0.0,0.0,92
93,93,93,213194880,1554223078200183,323876022,-1170764860,0.03,66,35,1.205,,17,0.5274469,0.79087377,11.013344,0.5539444,0,1309.0922,49.0,0.0,77.0,88.0,0.0,5.0,0.0,23.437932999999997,101250.125,0.0,0.0,93
94,94,94,214196958,1554223079200183,323876111,-1170764856,0.03,66,40,1.0450001,,17,0.54860616,0.79087377,10.986563,0.5486043,0,1323.1426,44.0,0.0,98.0,88.0,0.0,5.0,0.0,23.417955,101243.13,0.0,0.0,94
95,95,95,215000895,1554223080000183,323876159,-1170764786,0.03,66,40,1.1550001,,17,0.5489951999999999,0.79087377,10.982925999999999,0.5489958,0,1337.4001,44.0,0.0,99.0,88.0,0.0,5.0,0.0,23.39049,101246.52,0.0,0.0,95
96,96,96,216198912,1554223081200183,323876080,-1170764645,0.03,66,41,1.7700001,,17,0.55225134,0.79087377,10.915826,0.5319541,0,1351.52,49.0,0.0,100.0,88.0,0.0,5.0,0.0,23.323072,101248.37,0.0,0.0,96
97,97,97,217194494,1554223082200183,323875859,-1170764530,0.03,66,19,3.545,,17,0.5481906,0.79087377,10.843433000000001,0.51392394,0,1365.6409,36.0,0.0,92.0,91.0,0.0,5.0,0.0,23.230686,101261.29,0.0,0.0,97
98,98,98,218189887,1554223083200183,323875586,-1170764424,0.03,50,17,2.512,,17,0.54882085,0.79087377,10.821049,0.5072677999999999,0,1379.7856,42.0,0.0,97.0,95.0,0.0,5.0,0.0,23.103344,101253.09,0.0,0.0,98
99,99,99,219192923,1554223084200183,323875447,-1170764380,0.04,50,38,1.167,,16,0.5530379,0.79087377,10.937785,0.5346425,0,1393.6357,40.0,0.0,100.0,98.0,0.0,5.0,0.0,23.005964000000002,101242.61,0.0,0.0,99
100,100,100,220192035,1554223085200183,323875398,-1170764369,0.04,50,41,0.22100002,,16,0.54568577,0.79087377,11.066234,0.5646437,0,1406.6989999999994,45.0,0.0,99.0,99.0,0.0,5.0,0.0,22.92856,101227.83,0.0,0.0,100
101,101,101,221194071,1554223086200182,323875417,-1170764376,0.03,56,50,0.545,,16,0.55179137,0.79087377,11.0850115,0.5688408,0,1420.5597,42.0,0.0,79.0,98.0,0.0,5.0,0.0,22.906088,101221.414,0.0,0.0,101
102,102,102,222192980,1554223087200182,323875469,-1170764387,0.03,56,40,0.503,,16,0.5499161,0.79087377,11.066913000000001,0.5647724000000001,0,1434.5928,44.0,0.0,96.0,98.0,0.0,5.0,0.0,22.908585000000002,101231.945,0.0,0.0,102
103,103,103,223195486,1554223088200182,323875488,-1170764380,0.03,63,46,0.273,,15,0.548357,0.79087377,11.113202000000001,0.5744584,0,1448.3563,45.0,0.0,100.0,98.0,0.0,5.0,0.0,22.898595999999998,101245.28,0.0,0.0,103
104,104,104,224186873,1554223089200182,323875440,-1170764348,0.03,63,80,1.182,,15,0.5372545999999999,0.79087377,11.133168,0.57987624,0,1462.2086,41.0,0.0,96.0,100.0,0.0,5.0,0.0,22.853653,101267.67,0.0,0.0,104
105,105,105,225194142,1554223090200182,323875282,-1170764297,0.03,63,63,2.167,,16,0.5564164,0.79087377,11.082342,0.56687194,0,1476.2115,42.0,0.0,83.0,101.0,0.0,5.0,0.0,22.806210999999998,101287.93,0.0,0.0,105
106,106,106,226190898,1554223091200182,323875094,-1170764310,0.03,63,55,1.7030001000000001,,15,0.5571020999999999,0.79087377,11.072682,0.56566316,0,1490.2252,47.0,0.0,96.0,102.0,0.0,5.0,0.0,22.741293,101303.83,0.0,0.0,106
